target_document_or_step,prerequisite_name,source_url,source_title,section_path,source_document_id,chunk_id,evidence_text,condition_text
건강진단결과서,보건소 또는 지정 의료기관 방문,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=1966&ccfNo=2&cciNo=1&cnpClsNo=1,푸드트럭 창업·운영 / 영업신고,푸드트럭 창업·운영 / 영업신고 > 푸드트럭을 이용한 식품접객업의 영업신고 신청 및 수리 영업신고 대상 푸드트럭을 이용한 휴게음식점영업,easylaw_1966_body_v_csmSeq_1966_ccfNo_2_cciNo_1_cnpClsNo_1,evchunk_efba37d57587f2,인쇄체크 푸드트럭을 이용한 식품접객업의 영업신고 신청 및 수리 영업신고 대상 푸드트럭을 이용한 휴게음식점영업 및 제과점영업을 하려는 자는 영업 종류별 또는 영업소별로 식품의약품안전처장 또는 특별자치시장·특별자치도지사·시장·군수·구청장(이하 “신고관청”이라 함)에게 신고해야 합니다( 「식품위생법」 제37조 제4항 전단 및 「식품위생법 시행령」 제25조 제1항제8호 참조). 영업신고 절차 담당 신고인 (푸드트럭 영업자) 처리기관(담당 부서) 시·군·구(식품영업신고 담당 부서) 단계 신고서 작성 → 접수 ↓ 서류검토 ↓ 신고증 발급 ← 결재 ↓ 시설 확인 [금천구청( https://www.geumcheon.go.kr/ )-보건소·그 밖의 보…,건강진단결과서 발급을 위해 보건소 또는 지정 의료기관 방문과 검사 접수가 필요하다.
건강진단결과서,창업자 및 종업원 인적사항 확인,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=633&ccfNo=3&cciNo=2&cnpClsNo=1,동업계약 / 식품관련 영업신고 또는 허가,동업계약 / 식품관련 영업신고 또는 허가 > 영업허가 개념 “영업허가”란 일반적으로 금지된 영업에 대해 일정 요건을 갖춘 경우 그,easylaw_633_body_ov_csmSeq_633_ccfNo_3_cciNo_2_cnpClsNo_1,evchunk_a7b6a5c7a784d2,"인쇄체크 영업허가 개념 “영업허가”란 일반적으로 금지된 영업에 대해 일정 요건을 갖춘 경우 그 금지를 해제해 적법하게 영업할 수 있도록 해주는 행정행위로, 금지된 영업을 하려는 사람은 영업 종류별 또는 영업소별로 식품의약품안전처장 또는 특별자치도지사 또는 시장·군수·구청장의 허가를 받아야 합니다(「법령용어사례집」 법제처·한국법제연구원 및 「식품위생법」 제37조 제1항 전단). 영업허가를 받아야 하는 업종 및 허가기관 영업허가를 받아야 하는 업종과 허가기관은 다음과 같습니다( 「식품위생법 시행령」 제23조 ). 식품조사처리업(방사선을 쬐어 식품의 보존성을 물리적으로 높이는 것을 업(業)으로 하는 영업) : 식품의약품안전처장 단란주점영업과…","건강진단결과서는 영업자와 종업원 등 실제 종사자 인적사항이 정해진 뒤 준비한다. 법정 기한 즉시, 체감 기한 4일에서 5일."
건축물대장 확인(용도 및 위반 여부),계약 직전 주소 후보 확정,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=1973&ccfNo=4&cciNo=1&cnpClsNo=1,소상공인 지원 / 사업정리 및 폐업 지원 등,소상공인 지원 / 사업정리 및 폐업 지원 등 > 폐업 ( 예정 ) 소상공인은 폐업에 필요한 컨설팅·철거비용 등을 지원받을 수 있습니다,easylaw_1973_body_v_csmSeq_1973_ccfNo_4_cciNo_1_cnpClsNo_1,evchunk_adc182d8f5f808,"인쇄체크 폐업 ( 예정 ) 소상공인은 폐업에 필요한 컨설팅·철거비용 등을 지원받을 수 있습니다 . 폐업 지원 정부는 폐업하였거나 폐업하려는 소상공인의 사업정리 등을 지원하기 위하여 필요한 시책을 실시해야 합니다( 「소상공인기본법」 제25조 ). 원스톱 폐업 지원 폐업(예정) 소상공인을 대상으로 사업정리 컨설팅, 법률자문, 채무조정 신청지원, 점포철거비 지원 등을 통한 신속한 폐업 지원을 하고 있습니다. ※ 원스톱 폐업 지원사업 ① 점포철거비 지원 • 지원방식: 전용면적(3.3㎡)당 20만원 이내로 지원 • 지원내용: 점포철거 및 원상복구 비용의 600만원 한도 내에서 지원(부가세 지원제외) ― 폐업일에 따라 지원한도 차등 적용(25년 …",건축물대장 용도 및 위반 여부 확인은 임대차계약 전에 주소 후보가 확정되어야 한다.
도로점용허가,도로 점용 위치 및 면적 확인,https://www.law.go.kr/DRF/lawService.do?OC=REDACTED&target=law&MST=280119&type=JSON,도로법 제117조 과태료,도로법 제117조 과태료,law_도로법,evchunk_b42991b8ffa9d0,도로법 제117조 과태료 117 과태료 제117조(과태료) ① ① 다음 각 호의 어느 하나에 해당하는 자에게는 500만원 이하의 과태료를 부과한다. <개정 2022.11.15> 1. 1. 제77조제1항에 따른 운행 제한을 위반한 차량의 운전자 2. 2. 제77조제2항에 따른 관리를 하지 아니한 자(임차한 화물적재 차량이 제77조제1항에 따른 운행 제한을 위반하여 운행하는 경우로 한정한다) 3. 3. 제77조제3항을 위반하여 차량의 운전자에게 같은 조 제1항에 따른 운행 제한을 위반한 운행을 지시ㆍ요구하거나 적재된 화물의 중량을 사실과 다르게 고지한 자 ② ② 다음 각 호의 어느 하나에 해당하는 자에게는 300만원 이하의 과태료를 부과한…,도로점용허가 전 외부 공간이 사유지인지 공공 도로 보도인지 확인한다.
도로점용허가,사업자등록증,https://www.easylaw.go.kr/CSP/CsmMain.laf?csmSeq=1966,푸드트럭 창업·운영 / 푸드트럭 창업·운영,"푸드트럭 창업·운영 / 푸드트럭 창업·운영 > 푸드트럭 영업 준비 푸드트럭 영업 준비 절차 ※ 단계별 준비기간, 소요 시간",easylaw_1966_body_asylaw_go_kr_CSP_CsmMain_laf_csmSeq_1966,evchunk_3831057c287364,영업 전 또는 종사 전 건강진단 실시 ⁃ 영업 후 매년 주기적 건강진단 실시 ※ 식품접객업 영업신고 시 건강진단 결과서 제출 ▼ 11 식품접객업 영업신고 신청 및 수리 ⁃ 담당 기관: 시·군·구 위생담당 부서 ⁃ 구비서류를 갖춰 식품접객업 영업신고 신청 ⁃ 적합한 경우 신청 수리 및 영업신고증 발부 ▼ 12 사업자등록 신청 및 수리 ⁃ 담당 기관: 관할 세무서 ⁃ 구비서류를 갖춰 사업자등록 신청 ⁃ 적합한 경우 신청 수리 및 사업자등록증 발부 ▼ 13 푸드트럭 영업 개시 ⁃ 영업 신고한 장소에서 영업 ▼ 14 영업신고사항 변경 및 폐업신고 ⁃ 담당 기관: 시·군·구 위생담당 부서 ⁃ 구비서류를 갖춰 영업신고사항의 변경 및 폐업 신고 ※…,외부 테라스나 입간판으로 도로를 점용하면 도로점용허가 전 사업 주체를 확인한다.
도로점용허가,위치도 및 평면도,https://www.law.go.kr/DRF/lawService.do?OC=REDACTED&target=law&MST=280119&type=JSON,도로법 제117조 과태료,도로법 제117조 과태료,law_도로법,evchunk_b42991b8ffa9d0,도로법 제117조 과태료 117 과태료 제117조(과태료) ① ① 다음 각 호의 어느 하나에 해당하는 자에게는 500만원 이하의 과태료를 부과한다. <개정 2022.11.15> 1. 1. 제77조제1항에 따른 운행 제한을 위반한 차량의 운전자 2. 2. 제77조제2항에 따른 관리를 하지 아니한 자(임차한 화물적재 차량이 제77조제1항에 따른 운행 제한을 위반하여 운행하는 경우로 한정한다) 3. 3. 제77조제3항을 위반하여 차량의 운전자에게 같은 조 제1항에 따른 운행 제한을 위반한 운행을 지시ㆍ요구하거나 적재된 화물의 중량을 사실과 다르게 고지한 자 ② ② 다음 각 호의 어느 하나에 해당하는 자에게는 300만원 이하의 과태료를 부과한…,도로점용허가 전 점용 위치와 면적을 표시한 위치도 및 평면도를 준비한다.
사업자등록증,사업개시일부터 20일 이내 신청기한 확인,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=1140&ccfNo=2&cciNo=2&cnpClsNo=2,학원의 개원 및 사업자등록,학원의 개원 및 사업자등록 > 사업자등록 사업자등록 신청 학원의 설립·운영자는 사업자로서 사업개시일부터 20일 이내에 사업장 관할 세무서장에게,easylaw_1140_body_v_csmSeq_1140_ccfNo_2_cciNo_2_cnpClsNo_2,evchunk_ed252b78d9fe02,"인쇄체크 사업자등록 사업자등록 신청 학원의 설립·운영자는 사업자로서 사업개시일부터 20일 이내에 사업장 관할 세무서장에게 사업자등록을 신청해야 합니다( 「소득세법」 제168조 제1항 본문 및 「부가가치세법」 제8조 제1항). 개인인 경우 「소득세법」 , 법인인 경우 「법인세법」 에 따른 사업자등록을 하여야 하나, 「부가가치세법」 에 따라 사업자등록을 하는 경우 「소득세법」 또는 「법인세법」 에 따른 사업자등록을 한 것으로 보게 되므로, 별도로 「소득세법」 또는 「법인세법」 에 따른 사업자등록은 하지 않아도 됩니다( 「소득세법」 제168조 제2항 및 「법인세법」 제111조 제2항). 사업자등록 신청절차 및 구비서류 사업자등록을 신청하려는…",사업자등록은 사업 개시일부터 20일 이내 신청해야 하므로 신청기한을 확인한다.
사업자등록증,식품접객업 영업신고증,https://www.easylaw.go.kr/CSP/CsmMain.laf?csmSeq=1966,푸드트럭 창업·운영 / 푸드트럭 창업·운영,"푸드트럭 창업·운영 / 푸드트럭 창업·운영 > 푸드트럭 영업 준비 푸드트럭 영업 준비 절차 ※ 단계별 준비기간, 소요 시간",easylaw_1966_body_asylaw_go_kr_CSP_CsmMain_laf_csmSeq_1966,evchunk_3831057c287364,영업 전 또는 종사 전 건강진단 실시 ⁃ 영업 후 매년 주기적 건강진단 실시 ※ 식품접객업 영업신고 시 건강진단 결과서 제출 ▼ 11 식품접객업 영업신고 신청 및 수리 ⁃ 담당 기관: 시·군·구 위생담당 부서 ⁃ 구비서류를 갖춰 식품접객업 영업신고 신청 ⁃ 적합한 경우 신청 수리 및 영업신고증 발부 ▼ 12 사업자등록 신청 및 수리 ⁃ 담당 기관: 관할 세무서 ⁃ 구비서류를 갖춰 사업자등록 신청 ⁃ 적합한 경우 신청 수리 및 사업자등록증 발부 ▼ 13 푸드트럭 영업 개시 ⁃ 영업 신고한 장소에서 영업 ▼ 14 영업신고사항 변경 및 폐업신고 ⁃ 담당 기관: 시·군·구 위생담당 부서 ⁃ 구비서류를 갖춰 영업신고사항의 변경 및 폐업 신고 ※…,"식품접객업은 사업자등록 신청 전 영업신고증을 먼저 갖추는 흐름으로 안내한다. 법정 기한 2일 이내, 체감 기한 즉시에서 1일."
사업자등록증,임대차계약서,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=1140&ccfNo=2&cciNo=2&cnpClsNo=2,학원의 개원 및 사업자등록,학원의 개원 및 사업자등록 > 사업자등록 사업자등록 신청 학원의 설립·운영자는 사업자로서 사업개시일부터 20일 이내에 사업장 관할 세무서장에게,easylaw_1140_body_v_csmSeq_1140_ccfNo_2_cciNo_2_cnpClsNo_2,evchunk_ed252b78d9fe02,"인쇄체크 사업자등록 사업자등록 신청 학원의 설립·운영자는 사업자로서 사업개시일부터 20일 이내에 사업장 관할 세무서장에게 사업자등록을 신청해야 합니다( 「소득세법」 제168조 제1항 본문 및 「부가가치세법」 제8조 제1항). 개인인 경우 「소득세법」 , 법인인 경우 「법인세법」 에 따른 사업자등록을 하여야 하나, 「부가가치세법」 에 따라 사업자등록을 하는 경우 「소득세법」 또는 「법인세법」 에 따른 사업자등록을 한 것으로 보게 되므로, 별도로 「소득세법」 또는 「법인세법」 에 따른 사업자등록은 하지 않아도 됩니다( 「소득세법」 제168조 제2항 및 「법인세법」 제111조 제2항). 사업자등록 신청절차 및 구비서류 사업자등록을 신청하려는…",사업장을 임차한 경우 사업자등록증 발급 전 임대차계약서를 준비한다.
식품접객업 영업신고증,건강진단결과서,https://www.easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=1966&ccfNo=2&cciNo=1&cnpClsNo=1,푸드트럭 창업·운영 / 영업신고,푸드트럭 창업·운영 / 영업신고 > 푸드트럭을 이용한 식품접객업의 영업신고 신청 및 수리 영업신고 대상 푸드트럭을 이용한 휴게음식점영업,easylaw_1966_body_v_csmSeq_1966_ccfNo_2_cciNo_1_cnpClsNo_1,evchunk_efba37d57587f2,인쇄체크 푸드트럭을 이용한 식품접객업의 영업신고 신청 및 수리 영업신고 대상 푸드트럭을 이용한 휴게음식점영업 및 제과점영업을 하려는 자는 영업 종류별 또는 영업소별로 식품의약품안전처장 또는 특별자치시장·특별자치도지사·시장·군수·구청장(이하 “신고관청”이라 함)에게 신고해야 합니다( 「식품위생법」 제37조 제4항 전단 및 「식품위생법 시행령」 제25조 제1항제8호 참조). 영업신고 절차 담당 신고인 (푸드트럭 영업자) 처리기관(담당 부서) 시·군·구(식품영업신고 담당 부서) 단계 신고서 작성 → 접수 ↓ 서류검토 ↓ 신고증 발급 ← 결재 ↓ 시설 확인 [금천구청( https://www.geumcheon.go.kr/ )-보건소·그 밖의 보…,영업신고증 발급 전 건강진단결과서를 갖춰야 한다.
식품접객업 영업신고증,기존 업소 행정처분 이력 확인,https://www.easylaw.go.kr/CSP/CsmMain.laf?csmSeq=1966,푸드트럭 창업·운영 / 푸드트럭 창업·운영,"푸드트럭 창업·운영 / 푸드트럭 창업·운영 > 푸드트럭 영업 준비 푸드트럭 영업 준비 절차 ※ 단계별 준비기간, 소요 시간",easylaw_1966_body_asylaw_go_kr_CSP_CsmMain_laf_csmSeq_1966,evchunk_3831057c287364,영업 전 또는 종사 전 건강진단 실시 ⁃ 영업 후 매년 주기적 건강진단 실시 ※ 식품접객업 영업신고 시 건강진단 결과서 제출 ▼ 11 식품접객업 영업신고 신청 및 수리 ⁃ 담당 기관: 시·군·구 위생담당 부서 ⁃ 구비서류를 갖춰 식품접객업 영업신고 신청 ⁃ 적합한 경우 신청 수리 및 영업신고증 발부 ▼ 12 사업자등록 신청 및 수리 ⁃ 담당 기관: 관할 세무서 ⁃ 구비서류를 갖춰 사업자등록 신청 ⁃ 적합한 경우 신청 수리 및 사업자등록증 발부 ▼ 13 푸드트럭 영업 개시 ⁃ 영업 신고한 장소에서 영업 ▼ 14 영업신고사항 변경 및 폐업신고 ⁃ 담당 기관: 시·군·구 위생담당 부서 ⁃ 구비서류를 갖춰 영업신고사항의 변경 및 폐업 신고 ※…,같은 장소 기존 업소가 있으면 영업신고 전 행정처분 이력과 승계 가능성을 확인한다.
